Topic,Count,Name,Representation,Representative_Docs
43,455,43_iom_ukraine iom_iom poland_fled war,"['iom', 'ukraine iom', 'iom poland', 'fled war', 'fleeing', 'country nationals', 'persons', 'people fleeing', 'fleeing war', 'integration']","[""Run by , Radymno Shelter is home to 148 residents who fled the war in #Ukraine. 🇺🇦 IOM Poland: ✅ Renovated WASH facilities ✅ Upgraded the shelter's facade ✅ Installed a playground 🙏🏻 | |"", 'As more people continue to flee the war in #Ukraine, #IOM is on the ground to provide humanitarian aid and protection support to forcibly displaced #Ukrainians and third-country nationals.', '#Ukraine: Iom Moves To Provide Safer Temporary Accommodation To Internally Displaced Persons #Humanitarian']"
44,430,44_dam_kakhovka_hydroelectric_hydroelectric power,"['dam', 'kakhovka', 'hydroelectric', 'hydroelectric power', 'kakhovka hydroelectric', 'blew', 'hpp', 'kakhovka dam', 'kakhovskaya', 'russia blew']","['Are you crazy, ? And this is on the day when Russia committed a terrorist act and blew up the Kakhovka hydroelectric power station! #RussiaIsATerroristState #NATO', 'Are you crazy? And this is on the day when Russia committed a terrorist act and blew up the Kakhovka hydroelectric power station! #RussiaIsATerroristState', ""You're joking? this post is parallel to The destruction of the Kakhovka hydroelectric power plant dam. 🤬🤬🤬 #RussiaIsATerroristState""]"
45,429,45_ruzzia_ruzzian_ruzzians_russiaisaterroriststate ruzzia,"['ruzzia', 'ruzzian', 'ruzzians', 'russiaisaterroriststate ruzzia', 'kick ruzzia', 'ruzzia russiaisaterroriststate', 'ruzzia security', 'ruzzia terrorist', 'russiaisaterroriststate', 'remove ruzzia']","['is the organization for the protection of #ruZZia #RussiaIsATerroristState', 'Tell it to ruzzia #russiaisaterrorisstate', 'WHO DID THAT? ruZZia not USA! #PutinWarCrimes']"
46,425,46_eritrea_ethiopia_eritrea ethiopia_ethiopia eritrea,"['eritrea', 'ethiopia', 'eritrea ethiopia', 'ethiopia eritrea', 'ethiopians', 'nomore', 'ethiopiaprevails', 'eritreaprevails', 'russia eritrea', 'ukraine eritrea']","['Shame on Ethiopia GoT and the ppl. Opposing USA🇺🇸’s imposition while welcoming dictators of #Russia and #Eritrea. This’s shameless Ethiopia ‼️ Stop ✋ #TigrayGenocide.', 'If UN general assembly suspended #Russia from why not #Ethiopia and #Eritrea', '#Russia invades #Ukraine #Eritrea supports #Russia #Eritrea invades #Tigray #Russia supports #Eritrea Both #Russia &amp; #Eritrea violate the #UN charter. #IStandWithUkraine #IStandWithTigray']"
47,425,47_black sea_sea grain_sea_black,"['black sea', 'sea grain', 'sea', 'black', 'deal', 'grain deal', '120 days', 'grain', '60 days', '120']","['Ukraine, UN, Turkey agree to extend Black Sea Grain Initiative for 120 days #Ukraine', 'Russia offers 60-day extension to Black Sea grain deal, leading to questions in Kyiv Ukraine is unclear whether the Black Sea Grain Initiative can only be extended 60 days after negotiations in Geneva #BlackSeaGrainInitiative #Ukraine #Russia #Turkey #UN', ""Russia to extend Black Sea grain deal for only 60 days The Black Sea Grain Initiative, which unblocked Ukraine's grain exports via the Black Sea, was concluded by Ukraine, Russia, Turkey, and the UN... #BlackSeaGrainInitiative #Ukraine #Russia #Turkey #UN""]"
48,419,48_russia terrorist_terrorist state_terrorist_state,"['russia terrorist', 'terrorist state', 'terrorist', 'state', 'state russiaisaterroriststate', 'terrorism', 'sponsor terrorism', 'terrorism russiaisaterroriststate', 'sponsor', 'state sponsor']","['This #Russia is a #terrorist state 👇', '#Russia is a terrorist state.', '#Russia is nothing else as a terrorist state..nothing else....']"
49,413,49_court_court justice_international court_icj,"['court', 'court justice', 'international court', 'icj', 'orders russia', 'suspend military', 'halt', 'hearings', 'hague', 'halt invasion']","['UN international court of justice orders Russia to halt invasion of Ukraine #StopRussia #StopPutinNOW', 'UN International Court of Justice Orders Russia to Halt Invasion of Ukraine #SlavaUkraini 🇺🇦🇺🇦🇺🇦🌻', '#UN international court of #justice orders #Russia to halt invasion of #Ukraine']"
50,411,50_armenia_azerbaijan_armenian_armenians,"['armenia', 'azerbaijan', 'armenian', 'armenians', 'karabakh', 'artsakh', 'armenia azerbaijan', 'aliyev', 'azerbaijani', 'lands']","['Armenia-Azerbaijan: Dozens dead in overnight clashes via #Armenia #Azerbaijan #Russia #Turkey #Ukraine #war #Diplomacy #Politics #sanctions #refugees #humanity #NATO #EU #UK #US #UN', '#Israel should not only recognize #Armenian genocide but also assist #Armenia against the corrupt Azerbaijan #dictatorship. #Artsakh #karabakh #caucasus #NATO', ""#Russia's lap-dog #Armenia MUST withdraw its sneaky army and illegal detachments from UN recognized territories of Azerbaijan. No matter how often and bigger Armenian lies are, Armenia must stop aggression against Azerbaijan.""]"
51,410,51_freetibet_freehk_tibet_freeukraine,"['freetibet', 'freehk', 'tibet', 'freeukraine', 'ccp', 'freetibet freehk', 'freeeastturkistan', 'xijinping', 'tibetan', 'aus']","[""Fully agree, HH the #DalaiLama appeals Tibetans to avoid Chinese lingo in their practices, so use #Tibet's place name. #Sichuan province is within #OccupiedTibet. #FreeTibet #FreeHK #FreeEastTurkistan #FreeUkraine #XiJinping #CCP #China #US #EU #UK #India #Russia #UN #CTA #TPiE"", 'Keep spreading #China’s propaganda against Tibetan in #OccupiedTibet, #Tibet is giant prison camps nothing to glorious #FreeTibet #FreeTaiwan #FreeHK #FreeEastTurkistan #FreeUkraine #XiJinping #CCP #AUS #QUAD #Austria #UN #TaiwanIsaCountry #TibetWillBeFree', '#Japan #Tibet friendship will never end. #FreeTibet #FreeHK #FreeEastTurkistan #FreeUkraine #China #CCP #XiJinping #FreeUkraine #TwoSessions #UN #US #EU #AUS #India #Russia #Ukraine #PutinsWar #CTA']"
52,407,52_need peace_children ukraine_children_children need,"['need peace', 'children ukraine', 'children', 'children need', 'unicef', 'ukraine children', 'children families', 'child', 'support children', 'needs children']","['In the last year, millions of children have endured shelling, hunger, displacement and much more in war-torn Ukraine. They now dream of warmth and safety. As continues to meet their mounting needs, children in #Ukraine need peace now. Donate now:', ""Thousands of vulnerable children in #Ukraine are now cut off from #healthcare. 💔 #UNICEF is on the ground to meet children's basic needs. But most of all, #children need #peace. Now. ☮ Children are #NotATarget. v/ 💙💛"", ""'Six months into the war in #Ukraine, children need #peace now.' -""]"
53,403,53_people fled_fled ukraine_fled_million people,"['people fled', 'fled ukraine', 'fled', 'million people', 'refugee agency', 'million', 'ukrainians fled', 'says million', 'fled country', 'refugee']","['More than 2.5 million people have fled #Ukraine, UN says', '🚨🇺🇦UN: 3 million people have fled #Ukraine.', 'UN: More than 2.5 million people have fled #Ukraine']"
54,397,54_eritreaoutoftigray_eritrean_eritrea_eritreantroopsoutoftigray,"['eritreaoutoftigray', 'eritrean', 'eritrea', 'eritreantroopsoutoftigray', 'eritrean forces', 'eritrean troops', 'amp eritrea', 'amhara', 'intent abiy', 'tigraygenocide']","['🎡 stop failing in #Tigray. All war crimes committed in Tigray show the genocidal intent of #Abiy &amp; #Eritrea Isaias against Tigrayans. We all Human ! justice For All #Justice4Tigray #TigrayGenocide', 'stop failing in #Tigray.All war crimes committed in Tigray show the genocidal intent of #Abiy&amp; #Eritrea Isaias against Tigrayans. We all Human ! justice For All #Justice4Tigray #TigrayGenocide', 'stop failing in #Tigray. All war crimes committed in Tigray show the genocidal intent of #Abiy &amp; #Eritrea Isaias against Tigrayans. We all Human ! justice For All #Justice4Tigray #TigrayGenocide …']"
55,392,55_african_african countries_africa_african states,"['african', 'african countries', 'africa', 'african states', 'africans', 'abstained', 'african nations', 'countries abstained', 'african leaders', 'zambia']","['Why UN votes shouldn’t define #Europe-Africa relations: Many #Europeans were disappointed with how African countries voted on UN resolutions to condemn #Russia’s war on #Ukraine. But they should remember that African states still need to diversify their…', 'Figure of the week: African countries’ votes on the UN resolution condemning Russia’s invasion of #Ukraine', 'How #African countries voted on #UN resolution calling on #Russia to leave #Ukraine']"
56,384,56_tripoli_libya_turkey libya_egypt uae,"['tripoli', 'libya', 'turkey libya', 'egypt uae', 'khalifahifter', 'tripoli unhcr', 'khalifahifter tripoli', 'france syria', 'lna middleeast', 'libya france']","['What’s the biggest threat to Libya? #Turkey #Libya #France #Syria #Egypt #UAE #Russia #LNA #MiddleEast #AfricanUnion #KhalifaHifter #Tripoli #UN #UNHCR #Europe #NATO #Mercenaries #Migrants #Elections', 'More than 40 bodies found in Libya mass grave: Authorities #Turkey #Libya #France #Syria #Egypt #UAE #Russia #LNA #MiddleEast #AfricanUnion #KhalifaHifter #Tripoli #UN #UNHCR #Europe #NATO #Mercenaries #Migrants #Elections', 'U.N. warns over Libya threats #Turkey #Libya #France #Syria #Egypt #UAE #Russia #LNA #MiddleEast #AfricanUnion #KhalifaHifter #Tripoli #UN #UNHCR #Europe #NATO #Mercenaries #Migrants #Elections']"
57,368,57_ethiopian_ethiopia_ethiopian government_allowaccesstotigray,"['ethiopian', 'ethiopia', 'ethiopian government', 'allowaccesstotigray', 'ethiopian govt', 'siege', 'assistance ethiopia', 'ethiopia govt', 'blockade', 'tigray']","['6.2M+ people in #Tigray in need of urgent humanitarian assistance.#Ethiopia, on the contrary, blocking humanitarian supplies into #Tigray.No fuel, No banking, No telecommunications, No electricity. #AllowAccessToTigray', '#Tigray has been under siege with civilians dying from lack of food and medications due to systemic blockade by the Ethiopian government. World leaders must take concrete action to #EndTigraySiege #AllowAccessToTigray', '.#Tigray has been under siege with civilians dying from lack of food and medications due to systemic blockade by the Ethiopian government. World leaders must take concrete action to #EndTigraySiege #AllowAccessToTigray']"
58,365,58_kosovo_serbia_serbian_vucic,"['kosovo', 'serbia', 'serbian', 'vucic', '1244', 'kosovo serbia', 'resolution 1244', 'belgrade', 'serbia kosovo', 'serbian president']","['Serbia will ask NATO peacekeepers to let it deploy Serbian military and police in Kosovo, in line with the provisions of a UN Security Council resolution which ended a war there in 1999, President Aleksandar Vucic said on Saturday. #Kosovo #NATO', 'Serbia will ask #NATO peacekeepers to let it deploy Serbian military and police in Kosovo, in line with the provisions of a #UN Security Council resolution which ended a war there in 1999, President Aleksandar Vucic said on Saturday. #Serbian #Serbia', ""Serbia will be allowed to walk into Kosovo and take over. After all Serbia is not Russia and America doesn't care for these people. China should go into Kosovo immediately and offer Security against Serbia #kosovo #serbia #China #america #yugoslavia #UN""]"
59,362,59_ukraine tigray_tigray earth_earth life_tigray tigrayunderattack,"['ukraine tigray', 'tigray earth', 'earth life', 'tigray tigrayunderattack', 'tigrayunderattack stopbombingtigray', 'life millions', 'attention focused', 'focused ukraine', 'stopbombingtigray world', 'tigrayunderattack']","['◇As much of the world’s attention is focused on #Ukraine, WHY NOT #Tigray ? ”nowhere on earth where the life of millions of people is more under threat"" than #Tigray. #TigrayUnderAttack #StopBombingTigray', 'As much of the world’s attention is focused on #Ukraine, WHY NOT #Tigray ? ”nowhere on earth where the life of millions of people is more under threat"" than #Tigray #TigrayUnderAttack #StopBombingTigray @', 'As much of the world’s attention is focused on #Ukraine WHY NOT #Tigray ?”nowhere on earth where the life of millions of people is more under threat"" than #Tigray #TigrayUnderAttack #StopBombingTigray #EndTigraySiege']"
60,351,60_reparations_reparations ukraine_russia pay_pay reparations,"['reparations', 'reparations ukraine', 'russia pay', 'pay reparations', 'pay', 'war reparations', 'resolution reparations', 'compensation', 'russian reparations', 'assembly calls']","['UN adopts resolution calling for Russia to pay Ukraine war reparations #Ukraine #Russia', 'The United Nations General Assembly adopted on Monday the resolution that calls for Russia to pay for reparations to Ukraine. #Russia #UN #Ukraine', 'The #UN calls #Russia to pay reparations to #Ukraine #war #reparations #StopRussianAggression #StandWithUkraine']"
61,348,61_killer dictator_fck_dictator putin_fck killer,"['killer dictator', 'fck', 'dictator putin', 'fck killer', 'putin', 'putin intentionally', 'selfish ass', 'ass ego', 'killer', 'ego amp']","[""#Ukraine I stand with UKRAINE 💯 and for the long haul 💯! It's NOT OK 4 KILLER DICTATOR PUTIN 2 INTENTIONALLY MURDER INNOCENT UKRAINIAN PPL &amp; CHILDREN! All for his SELFISH ASS EGO &amp; POWER GRAB TRIP! FCK KILLER DICTATOR PUTIN AND ANYONE WHO SUPPORT'S THE POS PUTIN PERIOD!!!"", ""#UkraineRussiaWar️ I stand with UKRAINE 💯 &amp; FOR THE LONG HAUL 💯! IT'S NOT OK 4 A KILLER DICTATOR PUTIN 2 INTENTIONALLY MURDER INNOCENT PPL &amp; CHILDREN &amp; ONLY BC OF HIS SELFISH ASS EGO &amp; POWER GRAB TRIP! FCK KILLER DICTATOR PUTIN THE WAR CRIMINAL &amp; ANYONE WHO SUPPORT'S THE POS!"", ""#Ukraine️ I STAND WITH UKRAINE 💯 &amp; 4 THE LONG HAUL 💯! IT'S NOT OK 4 KILLER DICTATOR PUTIN 2 INTENTIONALLY MURDER INNOCENT UKRAINIAN PPL &amp; CHILDREN BC OF HIS SELFISH ASS EGO &amp; POWER GRAB TRIP! FCK KILLER DICTATOR PUTIN &amp; ANYONE WHO SUPPORTS KILLER DICTATOR PUTIN! UNACCEPTABLE!!""]"
62,344,62_beijing russia_congress potus_china beijing_factcheck,"['beijing russia', 'congress potus', 'china beijing', 'factcheck', 'potus eu', 'unitednations xijinping', 'factcheck congress', 'moscow unitednations', 'xijinping biden', 'putin whitehouse']","['Remember what game it is at the last minute, you don’t #gamble,…you just take…#StillStanding #ComeGetSome #FactCheck #Congress #POTUS #UN #EU #UK #Chinese #China #Beijing #Russia #Moscow #UnitedNations #XiJinping #Biden #Putin #WhiteHouse #PENTAGON #Espionage #UnitedStates #USA', 'Keep walking through the storm. Your rainbow is waiting on the other side. #FuckUncleSam #StillStanding #ComeGetSome #FactCheck #Congress #POTUS #UN #EU #UK #China #Beijing #Russia #Moscow #UnitedNations #XiJinping #Biden #Putin #WhiteHouse #Read #PENTAGON #USA #V', 'When in doubt, look around, remove that frown!Never back down it’s a challenge…you are down!#StillStanding #ComeGetSome #FactCheck #Congress #POTUS #UN #EU #UK #China #Beijing #Russia #Moscow #UnitedNations #XiJinping #Biden #Putin #WhiteHouse #Read #PENTAGON #USA #UnitedStates']"
